pattern,is_exact
+9%212%51%%%%,0
+9%212%6419%%,0
+9%212%8165%%,0
+9%2122%721%%,0
+9%21221%59%%,0
+9%21222%84%%,0
+9%21222482%%,0
+9%21223345%%,0
+9%21226611%%,0
+9%21226751%%,0
+9%21227253%%,0
+9%21229631%%,0
+9%2123%%%3%%,0
+9%2123%164%%,0
+9%2123%571%%,0
+9%21231%%2%%,0
+9%21231332%%,0
+9%212318%2%%,0
+9%212339%4%%,0
+9%21234%92%%,0
+9%21236638%%,0
+9%21236735%%,0
+9%21238%%%%%,0
+9%212381%4%%,0
+9%21238124%%,0
+9%21238169%%,0
+9%21238185%%,0
+9%21239613%%,0
+9%2124%169%%,0
+9%2124%816%%,0
+9%212411%%%%,0
+9%212414%%%%,0
+9%212419%%%%,0
+9%21245444%%,0
+9%21247%%%%%,0
+9%21247%2%%%,0
+9%21247%88%%,0
+9%2125%495%%,0
+9%21253645%%,0
+9%21255265%%,0
+9%2126%6%%%%,0
+9%21261%%%%%,0
+9%2127%%%1%%,0
+9%2127%%1%%%,0
+9%2127%%41%%,0
+9%2127%%99%%,0
+9%2127%6%3%%,0
+9%2127%611%%,0
+9%2127%618%%,0
+9%2127%639%%,0
+9%2127%653%%,0
+9%2127%8%9%%,0
+9%2127%993%%,0
+9%2128%%18%%,0
+9%2128%5%1%%,0
+9%2128%639%%,0
+9%2128%64%%%,0
+9%21285427%%,0
+9%2129%%%%%%,0
+9%2129%%1%%%,0
+9%2129%%28%%,0
+9%2129%598%%,0
+9%2129%8%%%%,0
+9%2129%819%%,0
+9%2129%82%%%,0
+9%2129%822%%,0
+9%2129%981%%,0
+9%21292422%%,0
+9%212931%5%%,0
+9%212931%7%%,0
+9%21293148%%,0
+9%21293416%%,0
+9%21293531%%,0
+9%212939%6%%,0
+9%21293913%%,0
+9%21293921%%,0
+9%21293944%%,0
+9%21294%%3%%,0
+9%21294%%4%%,0
+9%21294%%7%%,0
+9%21294%34%%,0
+9%2129423%%%,0
+9%21294269%%,0
+9%2129444%%%,0
+9%21294449%%,0
+9%21294458%%,0
+9%212945%2%%,0
+9%212945%3%%,0
+9%212945%5%%,0
+9%212945%7%%,0
+9%2129451%%%,0
+9%21294516%%,0
+9%21294547%%,0
+9%2129455%%%,0
+9%2129457%%%,0
+9%2129459%%%,0
+9%212952%7%%,0
+9%2129526%%%,0
+9%21295267%%,0
+9%21296%77%%,0
+9%212963%8%%,0
+9%212964%1%%,0
+9%212966%%%%,0
+9%212966%1%%,0
+9%212966%3%%,0
+9%212967%7%%,0
+9%21297%21%%,0
+9%212979%6%%,0
+9%21297912%%,0
+9%21297917%%,0
+9%21297924%%,0
+9%21297999%%,0
+9%21298119%%,0
+9%212982%6%%,0
+9%212989%%%%,0
+9%21299%%3%%,0
+9%21299%%5%%,0
+9%21299%%7%%,0
+9%2129983%%%,0
+9%216%%6%3%%,0
+9%216%%685%%,0
+9%2162%%%2%%,0
+9%2162%5%8%%,0
+9%2162%6%%%%,0
+9%21621%%%%%,0
+9%21621%%1%%,0
+9%216212%6%%,0
+9%21621412%%,0
+9%21622%16%%,0
+9%21622%2%%%,0
+9%21622532%%,0
+9%21622755%%,0
+9%2162281%%%,0
+9%21622814%%,0
+9%21622818%%,0
+9%2162282%%%,0
+9%21622851%%,0
+9%216229%1%%,0
+9%21623414%%,0
+9%21624%%%%%,0
+9%21624%%1%%,0
+9%21624%%2%%,0
+9%21624%%3%%,0
+9%21624%%7%%,0
+9%21624%1%%%,0
+9%2162565%%%,0
+9%21625661%%,0
+9%216425%%%%,0
+9%2165%441%%,0
+9%2165%728%%,0
+9%21654252%%,0
+9%21654555%%,0
+9%2165472%%%,0
+9%21654728%%,0
+9%2165541%%%,0
+9%21655763%%,0
+9%21657%%8%%,0
+9%21661331%%,0
+9%2166325%%%,0
+9%2167%62%%%,0
+9%2167%648%%,0
+9%2167%654%%,0
+9%2167%93%%%,0
+9%216886%3%%,0
+9%2169%%2%%%,0
+9%21691213%%,0
+9%216922%2%%,0
+9%2169691%%%,0
+9%216988%2%%,0
+9%2242436%%%,0
+9%2243%5%8%%,0
+9%232%55%2%%,0
+9%232%55%5%%,0
+9%232%55%8%%,0
+9%232%75%2%%,0
+9%232242%%%%,0
+9%23224212%%,0
+9%23224267%%,0
+9%23224272%%,0
+9%232287%%%%,0
+9%2323%%%6%%,0
+9%2323263%%%,0
+9%23233%%%%%,0
+9%232335%%%%,0
+9%23233512%%,0
+9%23233556%%,0
+9%23233558%%,0
+9%232352%9%%,0
+9%232355%%%%,0
+9%232355%6%%,0
+9%2324%%%%%%,0
+9%2324%%%2%%,0
+9%2324%%%8%%,0
+9%232455%%%%,0
+9%232455%1%%,0
+9%232455%2%%,0
+9%232455%5%%,0
+9%232455%8%%,0
+9%23245511%%,0
+9%232475%1%%,0
+9%23248%%2%%,0
+9%2324844%%%,0
+9%23252%41%%,0
